date,idx,nonrspo,composite
2014-05-15,1211.015685,1151.764575,1137.242248
2014-05-16,1217.884511,1146.154928,1139.99302
2014-05-19,1226.442258,1156.222616,1148.922352
2014-05-20,1214.48248,1155.188323,1139.719723
2014-05-21,1212.229046,1148.352392,1136.16632
2014-05-22,1214.607259,1152.245464,1140.397511
2014-05-23,1203.08146,1149.166033,1129.839934
2014-05-26,1200.595317,1145.906783,1127.144589
2014-05-27,1200.123728,1144.987256,1126.461321
2014-05-28,1197.620553,1137.617771,1122.375483
2014-05-29,1203.370692,1143.614201,1130.236975
2014-05-30,1197.737812,1161.763826,1131.313946
2014-06-02,1191.825135,1137.377497,1119.600231
2014-06-03,1194.142671,1147.860668,1126.302615
2014-06-04,1184.658655,1139.105521,1116.600651
2014-06-05,1190.164105,1143.706452,1121.418774
2014-06-06,1198.603224,1143.151561,1126.930235
2014-06-09,1202.503394,1144.367519,1130.941237
2014-06-10,1204.444023,1147.981856,1133.651817
2014-06-11,1200.53856,1147.229496,1131.2881
2014-06-12,1204.940504,1143.798826,1132.987157
2014-06-13,1202.867087,1141.690185,1132.257858
2014-06-16,1201.542834,1143.733655,1130.355139
2014-06-17,1198.73819,1145.479565,1127.681362
2014-06-18,1194.563073,1141.194005,1124.436737
2014-06-19,1201.374187,1152.430126,1131.977006
2014-06-20,1206.140803,1151.185789,1131.966182
2014-06-23,1208.541782,1149.323135,1132.811399
2014-06-24,1220.857728,1155.299518,1141.280083
2014-06-25,1219.150607,1153.723818,1139.30608
2014-06-26,1214.667905,1158.517599,1139.174028
2014-06-27,1222.176557,1163.396242,1141.821318
2014-06-30,1219.477656,1158.85517,1138.712007
2014-07-01,1214.225901,1155.890987,1132.453303
2014-07-02,1222.380117,1157.963056,1138.992084
2014-07-03,1226.357763,1157.20258,1141.570626
2014-07-04,1225.603332,1163.625468,1143.722067
2014-07-07,1228.271109,1163.890068,1144.12703
2014-07-08,1234.666642,1165.77139,1149.906361
2014-07-09,1232.047693,1165.895645,1147.711014
2014-07-10,1229.507518,1161.734575,1143.739883
2014-07-11,1225.694581,1156.392625,1140.32784
2014-07-14,1222.053909,1153.126282,1136.129966
2014-07-15,1221.771915,1153.131847,1135.834672
2014-07-16,1221.432228,1155.041535,1136.207547
2014-07-17,1222.262537,1153.790271,1136.955118
2014-07-18,1216.617339,1142.830926,1130.560464
2014-07-21,1218.276798,1145.803696,1132.436175
2014-07-22,1219.800081,1148.635444,1134.034786
2014-07-23,1223.305082,1151.466182,1137.14652
2014-07-24,1228.064979,1151.057046,1142.599811
2014-07-25,1226.423459,1153.205688,1142.787617
2014-07-28,1226.405071,1153.353719,1142.453509
2014-07-29,1222.191368,1152.808111,1139.426483
2014-07-30,1215.69275,1147.639026,1133.192807
2014-07-31,1200.788584,1136.558677,1119.9425
2014-08-01,1193.585067,1127.235587,1112.428796
2014-08-04,1193.41037,1128.1291,1112.024694
2014-08-05,1196.777342,1131.673034,1116.287481
2014-08-06,1193.769574,1124.317838,1111.851753
2014-08-07,1188.675392,1121.643102,1107.51995
2014-08-08,1178.850101,1111.913014,1097.632375
2014-08-11,1182.124802,1113.70035,1101.072399
2014-08-12,1175.700579,1117.558874,1097.995766
2014-08-13,1168.602378,1125.142676,1096.255078
2014-08-14,1173.004108,1125.196049,1101.018261
2014-08-15,1176.449989,1126.502575,1103.071702
2014-08-18,1168.275407,1115.407687,1093.927638
2014-08-19,1162.188421,1109.321149,1087.71097
2014-08-20,1155.025263,1104.000827,1084.022826
2014-08-21,1149.433204,1093.757415,1074.240943
2014-08-22,1141.51752,1096.125979,1068.172429
2014-08-25,1135.562603,1080.078876,1057.696437
2014-08-26,1138.930232,1075.472189,1059.367628
2014-08-27,1148.346346,1093.089191,1072.339536
2014-08-28,1146.252589,1084.430947,1068.504179
2014-08-29,1138.801996,1078.379904,1061.967017
2014-09-01,1137.542649,1078.924221,1060.315345
2014-09-02,1127.416438,1065.412117,1051.531546
2014-09-03,1131.614741,1065.012946,1054.708132
2014-09-04,1133.439863,1070.385876,1058.884244
2014-09-05,1128.014494,1074.677098,1056.43984
2014-09-08,1130.974154,1077.498699,1058.113325
2014-09-09,1126.192808,1072.960131,1053.150514
2014-09-10,1123.380332,1069.21266,1051.57922
2014-09-11,1122.773892,1059.64123,1047.783094
2014-09-12,1119.335402,1059.569446,1045.24125
2014-09-15,1107.786739,1052.539056,1035.540813
2014-09-16,1106.487784,1053.163677,1033.591498
2014-09-17,1105.533634,1051.638687,1032.406341
2014-09-18,1101.930171,1042.225557,1028.260435
2014-09-19,1097.90001,1053.972173,1029.458404
2014-09-22,1103.425253,1051.674099,1031.878195
2014-09-23,1103.365817,1050.154898,1030.535241
2014-09-24,1098.162683,1050.262348,1026.400941
2014-09-25,1098.161758,1046.536879,1027.148168
2014-09-26,1092.279734,1047.646901,1024.095988
2014-09-29,1088.582765,1041.803792,1018.845833
2014-09-30,1086.714772,1046.488209,1018.910906
2014-10-01,1083.845501,1045.009313,1015.150063
2014-10-02,1083.877464,1041.016611,1014.280573
2014-10-03,1077.314737,1030.861532,1006.450764
2014-10-06,1077.901084,1030.97901,1007.612365
2014-10-07,1077.417738,1023.353193,1006.994741
2014-10-08,1059.393263,1001.660333,988.3985537
2014-10-09,1079.510974,1019.188608,1007.877093
2014-10-10,1064.784235,1003.308695,992.3762539
2014-10-13,1052.689092,986.5546601,977.548064
2014-10-14,1042.526827,981.565803,974.1487512
2014-10-15,1037.810472,962.7824875,964.1357003
